categoria,ordem,texto,enviada,created_at
Datas,5,"Égua, meninas, hoje é o dia de vocês 🥰 mulheres fortes, que enfrentam o que a vida trouxe com uma coragem que me inspira todo dia ♥ feliz Dia da Mulher pra cada uma de vocês",false,2026-07-03 21:50:17.043951+00
Datas,6,"Oi lindas ♥ ano novo chegando… e o meu desejo pra vocês é de dias mais leves, um corpo mais forte e um coração em paz 🥰 seguimos juntas, no ritmo de cada uma ♥",false,2026-07-03 21:50:17.043951+00
Depoimento,1,"Meninas 🥰 quem já participa do OncoStart há um tempinho… me conta, com suas palavras, como tem sido a experiência de vocês por aqui? Adoro ler ♥ (e com a autorização de vocês, às vezes compartilho pra encorajar outras mulheres que estão chegando)",false,2026-07-03 21:50:17.043951+00
Depoimento,2,Oi lindas ♥ vocês que já estão comigo no OncoStart: o que mais tem ajudado vocês no dia a dia? 🥰 me contem — o retorno de vocês me ajuda a melhorar cada vez mais o conteúdo,false,2026-07-03 21:50:17.043951+00
Depoimento,3,"Mana 🥰 se o OncoStart te ajudou de alguma forma a entender melhor a sua alimentação nesse período, me conta aqui ♥ leio cada mensagem com o coração",false,2026-07-03 21:50:17.043951+00
Depoimento,4,"Meninas, recebi esse carinho de uma das nossas aqui do grupo e pedi pra compartilhar com vocês 🥰 (com toda a autorização dela ♥): ""[fala da pessoa sobre a experiência — acolhimento, aprendizado, sentir-se amparada. NUNCA sobre resultado clínico/cura]"" Gratidão por poder caminhar junto com cada uma de vocês ♥",false,2026-07-03 21:50:17.043951+00
Educativa,1,"Oi lindas 🥰 dica de hoje: quando tudo tem gosto de metal, experimentem trocar o talher de metal por um de plástico ou bambu. Parece bobo, mas muda a refeição… testa e me conta ♥",false,2026-07-03 21:50:17.043951+00
Educativa,2,"Meninas, um lembrete com carinho ♥ o enjoo costuma piorar de estômago vazio. Às vezes o segredo não é comer menos, é comer pouquinho mais vezes, pra não ficar em jejum longo 🥰",false,2026-07-03 21:50:17.043951+00
Educativa,3,"Mana ♥ nos dias de boca sensível, comida em temperatura ambiente ou fria incomoda menos que muito quente. Cremes, purês e mingaus são nossos amigos nesses dias 🥰",false,2026-07-03 21:50:17.043951+00
Educativa,4,"Meninas queridas, presta atenção nessa 🥰 perder peso no tratamento não é pra ""resolver depois"". Músculo é força pra atravessar tudo isso. Se tu tá emagrecendo rápido, me conta — isso merece cuidado agora ♥",false,2026-07-03 21:50:17.043951+00
Educativa,5,"Oi lindas ♥ sobre o ""corta o açúcar senão alimenta o tumor""… égua, essa frase assusta mais do que ajuda. Cortar tudo sem orientação deixa vocês sem energia justo quando mais precisam. Cuidado com esse terrorismo, tá? 🥰",false,2026-07-03 21:50:17.043951+00
Educativa,6,"Meninas 🥰 a castanha-do-pará é uma joia da nossa terra… selênio e gordura boa. Mas equilíbrio é tudo: nada de punhado achando que quanto mais melhor ♥ qualquer dúvida, me chamem",false,2026-07-03 21:50:17.043951+00
Educativa,7,"Oi lindas ♥ se a comida perdeu a graça, ervas e temperos suaves (limãozinho, hortelã, gengibre se liberado) ajudam a acordar o paladar 🥰 vão testando aos pouquinhos",false,2026-07-03 21:50:17.043951+00
Educativa,8,"Meninas queridas 🥰 proteína no tratamento não é frescura, é o que preserva a força: ovinho, frango desfiado, peixe, iogurte… em pequenas porções ao longo do dia ♥ não precisa ser muito de uma vez",false,2026-07-03 21:50:17.043951+00
Engajamento,1,"Oi lindas 🥰 como vocês estão hoje? Me contem uma coisa boa que aconteceu no dia de vocês, mesmo pequenininha… eu começo: a minha foi [sua coisa boa do dia] ♥ agora quero ler as de vocês",false,2026-07-03 21:50:17.043951+00
Engajamento,2,"Bom dia, meninas ♥ deixa eu saber quem tá por aqui: qual foi a última coisa que tu conseguiu comer com um pouquinho de prazer? Quero ler todas 🥰",false,2026-07-03 21:50:17.043951+00
Engajamento,3,"Mana, me ajuda numa 🥰 quando bate o enjoo, o que funciona melhor pra ti — comida gelada ou quentinha? Responde aqui embaixo que eu comento ♥",false,2026-07-03 21:50:17.043951+00
Engajamento,4,"Oi lindas 🥰 como foi a alimentação de vocês hoje… dia bom ou dia difícil? Aqui a gente fala dos dois, sem julgamento nenhum ♥",false,2026-07-03 21:50:17.043951+00
Engajamento,5,"Uma perguntinha do dia, meninas 😅 qual alimento todo mundo mandou tu comer, mas tu não consegue nem olhar? Aqui pode confessar ♥",false,2026-07-03 21:50:17.043951+00
Engajamento,6,"Égua, meninas 🥰 quem aqui cresceu comendo açaí de verdade, aquele grosso, com farinha? Levanta a mão ♥ que essa semana tem conteúdo sobre ele por aqui",false,2026-07-03 21:50:17.043951+00
Engajamento,7,"Oi lindas 🥰 deixa eu fazer um censo com carinho: vocês estão mais no comecinho do tratamento, no meio, ou já finalizando? Me contem aqui que me ajuda demais a cuidar de vocês ♥",false,2026-07-03 21:50:17.043951+00
Engajamento,8,"Boa noite, meninas ♥ antes de dormir… me contem uma coisinha pela qual vocês são gratas hoje. Pode ser bem simples. Eu começo: hoje sou grata por [algo seu] 🥰",false,2026-07-03 21:50:17.043951+00
Material liberado,1,Oi lindas 🥰 preparei um material novo com muito carinho pra vocês… tá aqui embaixo ♥ deem uma olhada e me contem o que acharam,false,2026-07-03 21:50:17.043951+00
Material liberado,2,"Meninas ♥ chegou conteúdo novo pra vocês 🥰 é sobre [tema]. Salvem aí pra consultar quando precisarem, tá? Qualquer dúvida, me chamem",false,2026-07-03 21:50:17.043951+00
Material liberado,3,"Égua, meninas, olha o que eu trouxe pra vocês hoje 🥰 um material sobre [tema] que vai ajudar muito no dia a dia ♥ aproveitem",false,2026-07-03 21:50:17.043951+00
Material liberado,4,Oi lindas ♥ separei esse material pensando em cada uma de vocês. É pra guardar e usar sempre que a dúvida bater 🥰 me contem se ajudou,false,2026-07-03 21:50:17.043951+00
Material liberado,5,"Mana, esse aqui é especial 🥰 material novo sobre [tema], do jeitinho que vocês pediram ♥ baixem e me deem um feedback depois",false,2026-07-03 21:50:17.043951+00
Material liberado,6,Meninas queridas ♥ conteúdo fresquinho no grupo 🥰 sobre [tema]. Feito com carinho pra facilitar a vida de vocês no tratamento. Aproveitem e compartilhem as dúvidas aqui,false,2026-07-03 21:50:17.043951+00
Reativação,1,"Oi lindas 🥰 senti falta de vocês por aqui… como estão? Me contem, nem que seja um ""tô aqui"" ♥ só quero saber de vocês",false,2026-07-03 21:50:17.043951+00
Reativação,2,Meninas ♥ o grupo tava quietinho e eu fiquei com saudade 🥰 como está o coração e a alimentação de vocês nesses dias? Tô por aqui pra ouvir,false,2026-07-03 21:50:17.043951+00
Reativação,3,"Égua, mana, cadê tu? 🥰 faz um tempinho que não te vejo por aqui… passa pra dar um oi, tá? Quero saber como tu tá ♥",false,2026-07-03 21:50:17.043951+00
Reativação,4,"Oi lindas ♥ sei que tem dias que a gente só quer se recolher, e tá tudo bem 🥰 mas quando quiserem, o grupo tá aqui, quentinho, esperando vocês. Sem cobrança, só carinho ♥",false,2026-07-03 21:50:17.043951+00
Reativação,5,"Meninas 🥰 passando só pra lembrar que vocês não estão sozinhas nessa. Quando precisarem desabafar, tirar dúvida ou só dar um oi, é só chamar ♥ tô aqui",false,2026-07-03 21:50:17.043951+00
Reativação,6,"Oi lindas ♥ um ""bom dia"" pra reaquecer o nosso cantinho 🥰 me contem: o que tem sido mais difícil e o que tem sido mais leve pra vocês essa semana? Vamos conversar",false,2026-07-03 21:50:17.043951+00
